Iconografia;Tema
Cristo consegna il Mandylion al messaggero del re Abgar - DD - Cristo senza barba;Religione_e_Magia
il Mandylion è portato ad Edessa - DD - Cristo senza barba;Religione_e_Magia
'Vera Icon', 'Sudarium', velo della Veronica - DD - Christus triumphans;Religione_e_Magia
'Vera Icon', sostenuta dalla Veronica - DD - Christus triumphans;Religione_e_Magia
'Vera Icon', sostenuta dagli angeli - DD - Christus triumphans;Religione_e_Magia
'Vera Icon' sostenuta da altri personaggi, p.es. San Pietro e San Paolo - DD - Christus triumphans;Religione_e_Magia
il 'ritratto' di Cristo secondo l'epistola di Lentulo - DD - Cristo senza barba;Religione_e_Magia
'Volto Santo', p.es. di Lucca (attribuito a Nicodemo) - DD - Cristo senza barba;Religione_e_Magia
il ritratto di Cristo dipinto da San Luca - DD - Cristo senza barba;Religione_e_Magia
ex-voto della Emorroissa guarita - DD - Cristo senza barba;Religione_e_Magia
immagine di Cristo sul sudario (a figura intera), 'Sindone' - DD - Cristo senza barba;Religione_e_Magia
(altri) 'ritratti' di Cristo, p.es. ritratto di profilo - DD - Cristo senza barba;Religione_e_Magia
tipologie particolari del Cristo adulto (senza altri personaggi) - DD - Cristo senza barba;Religione_e_Magia
'Majestas Domini': Cristo nella mandorla seduto sull'arcobaleno o sulla sfera con il Tetramorfo - DD - Cristo senza barba;Religione_e_Magia
Cristo in trono - DD - Cristo senza barba;Religione_e_Magia
'Pantocrator', (busto di) Cristo, in atto di parlare o benedire, con in mano un libro - DD - Cristo senza barba;Religione_e_Magia
'Christus Rex' - DD - Cristo senza barba;Religione_e_Magia
Cristo giudice (celeste) - DD - Cristo senza barba;Religione_e_Magia
Cristo 'Logos', Verbo Incarnato - DD - Cristo senza barba;Religione_e_Magia
"'Salvator Mundi', in atto di benedire; ha il globo in mano o ai suoi piedi - DD - Cristo senza barba";Religione_e_Magia
Cristo ~ Eucaristia - DD - Cristo senza barba;Religione_e_Magia
Cristo con il calice e il pane o l'ostia - DD - Cristo senza barba;Religione_e_Magia
Cristo nel torchio, 'Christus in der Kelter' (Is. 63, 3) - DD - Cristo senza barba;Religione_e_Magia
Cristo nel mulino mistico - DD - Cristo senza barba;Religione_e_Magia
'Fons Vitae', 'Fons Pietatis' - DD - Cristo senza barba;Religione_e_Magia
Cristo in piedi sopra o vicino a una fontana, che versa il suo sangue - DD - Cristo senza barba;Religione_e_Magia
Cristo crocifisso (in una fontana), che versa il suo sangue - DD - Cristo senza barba;Religione_e_Magia
Cristo ~ attività umane - DD - Cristo senza barba;Religione_e_Magia
Cristo Buon Pastore - DD - Cristo senza barba;Religione_e_Magia
Cristo medico - DD - Cristo senza barba;Religione_e_Magia
Cristo farmacista - DD - Cristo senza barba;Religione_e_Magia
Cristo pescatore - DD - Cristo senza barba;Religione_e_Magia
Cristo venditore ambulante - DD - Cristo senza barba;Religione_e_Magia
Cristo agricoltore o giardiniere - DD - Cristo senza barba;Religione_e_Magia
Cristo oste - DD - Cristo senza barba;Religione_e_Magia
Cristo (sommo) sacerdote o profeta - DD - Cristo senza barba;Religione_e_Magia
Cristo pellegrino - DD - Cristo senza barba;Religione_e_Magia
'Feiertagschristus', Cristo con gli arnesi da artigiano - DD - Cristo senza barba;Religione_e_Magia
altre tipologie di Cristo adulto (senza altri personaggi) - DD - Cristo senza barba;Religione_e_Magia
Cristo come donna - DD - Cristo senza barba;Religione_e_Magia
Cristo in atteggiamento orante - DD - Cristo senza barba;Religione_e_Magia
Cristo come angelo - DD - Cristo senza barba;Religione_e_Magia
Cristo ~ Orfeo - DD - Cristo senza barba;Religione_e_Magia
Cristo ~ Apollo (Helios) - DD - Cristo senza barba;Religione_e_Magia
Cristo adulto insieme ad altri personaggi (in contesto non narrativo) - DD - Cristo senza barba;Religione_e_Magia
Cristo adulto con Maria Vergine - DD - Cristo senza barba;Religione_e_Magia
Cristo adulto con Maria Vergine come sposo e sposa - DD - Cristo senza barba;Religione_e_Magia
Cristo adulto con angeli - DD - Cristo senza barba;Religione_e_Magia
Cristo adulto ~ diavolo e creature demoniache - DD - Cristo senza barba;Religione_e_Magia
Cristo trionfa sul/i demonio/i - DD - Cristo senza barba;Religione_e_Magia
Cristo adulto insieme agli apostoli, evangelisti, santi, ecc. - DD - Cristo senza barba;Religione_e_Magia
"Cristo con San Giovanni Evangelista; questi tiene il capo sul suo petto, 'Johannesminne', 'Christus-Johannes-Gruppe' - DD - Cristo senza barba";Religione_e_Magia
'Traditio legis', 'Dominus legem dat', ovvero Cristo consegna un cartiglio (la Legge) a San Paolo alla presenza di San Pietro - DD - Cristo senza barba;Religione_e_Magia
Cristo consegna il cartiglio (la Legge) a San Paolo alla presenza degli apostoli - DD - Cristo senza barba;Religione_e_Magia
Cristo con i peccatori penitenti (Adamo, David, il figliol prodigo, Santa Maria Maddalena, il buon ladrone, San Pietro, ecc.) - DD - Cristo senza barba;Religione_e_Magia
Cristo adulto con figure di mortali - DD - Cristo in atteggiamento sdegnoso, minaccioso, ecc.;Religione_e_Magia
Cristo appare ai mortali - DD - Cristo in atteggiamento sdegnoso, minaccioso, ecc.;Religione_e_Magia
Cristo in trionfo, ovvero Cristo sul carro trionfale - DD - Cristo senza barba;Religione_e_Magia
Cristo a cavallo - DD - Cristo senza barba;Religione_e_Magia
Cristo a cavallo mentre guida un esercito di cavalieri, 'Militia Christi' - DD - Cristo senza barba;Religione_e_Magia
Cristo adulto ~ concettualizzazioni - DD - Cristo senza barba;Religione_e_Magia
tipologie specifiche del Cristo crocifisso (non in contesto narrativo) - DD - Cristo senza barba;Religione_e_Magia
Cristo sofferente (con la corona di spine, il capo generalmente reclinato da un lato, 'Christus patients') - DD - Cristo senza barba;Religione_e_Magia
Cristo ricoperto di piaghe della peste, 'Pestkruzifixus' - DD - Cristo senza barba;Religione_e_Magia
Cristo trionfante (con la corona di spine, il capo generalmente eretto, 'Christus triumphans') - DD - Cristo senza barba;Religione_e_Magia
Cristo si stacca dalla croce per abbracciare qualcuno - DD - Cristo senza barba;Religione_e_Magia
Cristo crocifisso sull'albero o sulla vite - DD - Cristo senza barba;Religione_e_Magia
Cristo crocifisso sulla croce 'vivente' - DD - Cristo senza barba;Religione_e_Magia
le Virtù ~ Cristo crocifisso - DD - Cristo senza barba;Religione_e_Magia
altre tipologie del Cristo crocifisso in contesto non narrativo - DD - Cristo senza barba;Religione_e_Magia
il Sacro Cuore - DD - Gesù Bambino e il Sacro Cuore;Religione_e_Magia
lo Spirito Santo;Religione_e_Magia
lo Spirito Santo rappresentato come colomba (tra le fiamme);Religione_e_Magia
lo Spirito Santo rappresentato in forma di fiamme;Religione_e_Magia
lo Spirito Santo rappresentato in sembianze umane;Religione_e_Magia
Spirito Santo rappresentato in altro modo, p.es. raggio/i di luce;Religione_e_Magia
i sette doni dello Spirito Santo;Religione_e_Magia
i sette doni dello Spirito Santo rappresentati come sette colombe;Religione_e_Magia
i sette doni dello Spirito Santo rappresentato come sette fiamme;Religione_e_Magia
i sette doni dello Spirito Santo rappresentati come sette lampade o come caldelabro a sette bracci;Religione_e_Magia
singole rappresentazioni dei sette doni dello Spirito Santo;Religione_e_Magia
"'Sapientia', Sapienza; 'Sapienza divina' (Ripa) ~ uno dei sette doni dello Spirito Santo";Religione_e_Magia
'Intellectus', 'Intelligentia', Intelletto ~ uno dei sette doni dello Spirito Santo;Religione_e_Magia
'Consilium', Consiglio ~ uno dei sette doni dello Spirito Santo;Religione_e_Magia
'Fortitudo', Fortezza ~ uno dei sette doni dello Spirito Santo;Religione_e_Magia
'Pietas', Pietà ~ uno dei sette doni dello Spirito Santo;Religione_e_Magia
'Scientia', Conoscenza ~ uno dei sette doni dello Spirito Santo;Religione_e_Magia
'Timor Domini', Timore di Dio ~ uno dei sette doni dello Spirito Santo;Religione_e_Magia
Maria Vergine;Religione_e_Magia
simboli e prefigurazioni di Maria Vergine;Religione_e_Magia
simboli di Maria Vergine;Religione_e_Magia
simboli di Maria Vergine dalle litanie;Religione_e_Magia
simboli di Maria Vergine dalle litanie (con il TESTO);Religione_e_Magia
Maria Vergine o Madonna con Bambino e simboli delle Litanie Lauretane;Religione_e_Magia
monogrammi di Maria Vergine;Religione_e_Magia
blasoni di Maria Vergine;Religione_e_Magia
"'Defensorium inviolatae Virginitatis'; simboli della maternità virginale";Religione_e_Magia
"prefigurazioni di Maria Vergine; la Vergine e sue prefigurazioni";Religione_e_Magia
Maria Vergine (senza Gesù Bambino);Religione_e_Magia
Maria bambina;Religione_e_Magia
'ritratti' di Maria Vergine;Religione_e_Magia
Maria Vergine a figura eretta senza Gesù Bambino;Religione_e_Magia
Maria Vergine come orante (talvolta chiamata 'Blacherniotissa') ~ Maria Vergine a figura eretta senza Gesù Bambino;Religione_e_Magia
'Immaculata', 'Purisima': Maria Vergine, in genere in piedi sulla mezzaluna, mentre scende dal Cielo, immune dal peccato originale (talvolta raffigurata mentre calpesta il serpente) ~ Maria Vergine a figura eretta senza Gesù Bambino;Religione_e_Magia
'Immaculata', 'Purisima': Maria Vergine con santi, in genere in piedi sulla mezzaluna, mentre scende dal Cielo, immune dal peccato originale (talvolta raffigurata mentre calpesta il serpente) ~ Maria Vergine a figura eretta senza Gesù Bambino;Religione_e_Magia
Maria Vergine sul globo terrestre ~ a figura eretta senza Gesù Bambino;Religione_e_Magia
Maria Vergine incinta, Madonna del Parto ~ a figura eretta senza Gesù Bambino;Religione_e_Magia
Maria Vergine gravida, con Gesù Bambino visibile ~ Maria Vergine a figura eretta;Religione_e_Magia
Maria Vergine come tabernacolo ~ Maria Vergine a figura eretta senza Gesù Bambino;Religione_e_Magia
Maria Vergine come tabernacolo con la Trinità all'interno ~ Maria Vergine a figura eretta senza Gesù Bambino;Religione_e_Magia
Maria Vergine come tabernacolo, con la Passione di Cristo all'interno ~ Maria Vergine a figura eretta;Religione_e_Magia
'Aerenkleidmaria' (talvolta con Gesù Bambino) ~ Maria Vergine a figura eretta;Religione_e_Magia
immagini di Maria Vergine (seduta, senza altri personaggi);Religione_e_Magia
