	object	description	subject	label
203	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11116217@	Fondo convesso con superficie esterna ombelicata; alto piede ad anello. Piano di posa del piede risparmiato. Argilla fine, beige-arancio. Vernice nero-bruna, opaca.	Ceramica a vernice nera	incoherent
204	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11115851@	Orlo verticale indistinto, con bordo arrotondato; parete rettilinea; attacco di ansa a bastoncello orizzontale impostato sotto l'orlo. Argilla beige. Vernice nero-bruna, poco coprente.	ceramica a vernice nera	incoherent
205	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11117150@	Orlo estroflesso, con breve tesa orizzontale; vasca troncoconica con parete a profilo rettilineo. Sulla superficie, evidenti segni di tornitura. Argilla beige, fine, porosa. Vernice nero-bruna, opaca, sottile.	CERAMICA A VERNICE NERA	incoherent
206	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11117088@	Orlo ingrossato e arrotondato all'esterno, distinto dalla parete; vasca emisferica. Argilla grigio-nerastro.	Ceramica grigia	incoherent
207	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11117164@	Parete a profilo rettilineo; fondo con piede a disco, segnato all'esternoda una solcatura. Impasto rosato all'esterno, giallino all'interno, grigio in frattura, con inclusi a granulometria medio-fine.	Impasto chiaro granuloso	incoherent
209	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11330222@	Cista cordonata a sette cordoni alternati a file di puntini sbalzati	vasellame bronzeo	incoherent
210	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11330691@	bicchiere globulare con collo distinto, tre solcature sopra la spalla e una X graffita sul fondo	Ceramica depurata	incoherent
211	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11330800@	Anello in verghetta di sezione circolare	oggetti d' ornamento	coherent
213	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11331121@	Punta di freccia peduncolata a spalle orizzontali in selce grigia	Industria litica	incoherent
330	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_84095	figura virile recumbente su kline; ha il busto nudo e il basso corpo cope rto da un himation a pieghe che il ginocchio destro sollevato rende piu' accentuato; con la mano sinistra stringe al torace una lira; il braccio d estro e' piegato e regge, accostata al petto, una phiale; il viso ovale h a tratti ancora arcaici: occhi a mandorla, naso accentuato; i capelli son o appena modellati sulla fronte; sul capo, diadema perlinato	Recumbente su kline	coherent
341	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_84502	corpo ovoidale; ansa a nastro con carenatura centrale; piede ad anello	sul corpo, entro riquadro metopale delimitato in alto da fascia con motiv o ad onda, figura femminile vestita di chitone poderes annodato in vita, con capelli raccolti in lunga crocchia, adorna di armille; e' rivolta di tre quarti a sinistra, poggia il piede destro su un rialzo di roccia e re gge con la destra protesa in avanti una patera votiva; nel campo girale e virgulto	incoherent
342	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd8607457@	Orlo leggermente ingrossato, arrotondato all'esterno, e collo cilindrico. Sotto l'orlo sono leggibili due bolli entro cartiglio ovale realtivi al vasai Annius Bassus e del servo Hermes.	contenitori da trasporto	coherent
344	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd12284628@	Costituito da un amuleto e pendente per la sospensione. Amuleto: a forma di pesce, con pinne e coda, forato in corrispondenza degli occhi, riempiti con oro. Una lamina d'oro a rete avvolge l'amuleto con tre bande orizzontali e cinque verticali. Apicagnolo in oro realizzato a forma di corda a torchon, che termina in un occhiello circolare. Un ribattino in oro unisce pendente e apicagnolo.	ABBIGLIAMENTO E ORNAMENTI PERSONALI/GIOIELLI E MONILI	coherent
345	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd12284630@	Anello circolare a sezione piano convessa con anima in argento rivestita con lamina in foglia d'oro.	ABBIGLIAMENTO E ORNAMENTI PERSONALI/GIOIELLI E MONILI	coherent
346	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd12286335@	Probabile raffigurazione di Tueri. Ben visibili gli occhi a globo sporgente e il braccio lungo i fianchi.	STRUMENTI, UTENSILI E OGGETTI D’USO/OGGETTI PER USO CERIMONIALE, MAGICO E VOTIVO	incoherent
347	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11443238@	forma complessiva non ricostruibile, verosimilmente di tipo biconico/ pareti a profilo convesso/ orlo a tesa interna.. decorazione plastica sulla parete: nervature oblique convergenti verso l'orlo a formare un motivo angolare	STRUMENTI, UTENSILI E OGGETTI D’USO/ CONTENITORI E RECIPIENTI/ CERAMICA	incoherent
359	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_33847	Il manico è caratteristico di pàtere a vasca convessa rinvenute a Pompei, caratterizzate da piano di appoggio anulare, vasca a profilo convesso, labbro svasato ingrossato e lungo manico tubolare con estremità zoomorfa	testa di cane con bocca aperta ed orecchie a punta.	coherent
360	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_33958	orlo svasato orizzontale, labbro arrotondato, collo troncoconico, corpo globulare, fondo piatto.	decorazione: cinque archetti penduli sul labbro; fascia continua sul collo; successione di linee e fasce parallele interrotte all'altezza dell'ansa, dove raggiungono 2 linee perpendicolari; compresi tra le linee parallele 2 quadrati pieni e due losanghe a doppia linea alternati tra di loro, grossa fascia. Motivo centrale: grossa coda di rondine, 4 triangoliopposti a una losanga centrale; sui due lati una coda, due code al cui centro si disegnano tre linee parallele.	incoherent
362	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_38765	Protome fittile femminile. Capelli disposti sulla fronte in doppio ordine di linguette sovrapposte,e coperti da un diadema o da un'ampia tenia. Grandi orecchie scoperte, larghe bande di capelli ricadono ai lati del volto e lungo il collo scanditi da scanalature orizzontali, volto ovale pieno, mento e naso pronunciati, bocca leggermente aperta, occhi molto segnati da incisioni, arcata sopraccigliare di esecuzione raffinata, mimica vivace. Sulla fronte capelli a doppio ordine di linguette. Argilla nocciola chiara, dura e compatta, lavorazione a matrice, retro cavo.	Abbigliamento: diadema o ampia tenia	coherent
363	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_38931	Frammento di anfora a figure nere. Alla base ddel corpo ovoide, motivo a spessi raggi irregolari, seguito verso l'alto da una faccia contenente, tra due doppie linee orizzontali, boccioli di loto collegati in basso e in alto da archetti con punti. Al di sopra, altra fascia delimitata da linee orizzontali contenente tre file di punti a scacchiera collegati da linee oblique. Sul corpo sotto l'attacco dell'ansa mancante, motivo floreale costituito da quattro palmette e tre fiori di loto disposti in croce e collegati da motivi curvilinei con crocetta centrale e quattro punti in croce. A destra, parte di una figura in corsa verso sinistra, priva della testa e di parte del corpo, con lancia ed elsa di spada. La corazza è decorata con crocette graffite circondate da quattro puntini sovradipinti in bianco; ugualmente sovradipinta in bianco è la bandoliera. A destra resta il piede di una figura panneggiata volta a sinistra.	SCENA DI BATTAGLIA	coherent
364	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_38950	Statuetta fittile femminile, stante, basso polos e velo coprono i capelli a linguette; volto allungato, seni accennati, chitone liscio con apoptygma in vita. Alta base.	Abbigliamento religioso: polos e velo; chitone con apoptygma in vita.	coherent
365	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_42124	pendente in forma di testina maschile barbata. In vetro bluastro e smalto bianco iridescente e giallo	testina maschile barbata	coherent
366	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_44632	Figura femminile nuda seduta. Ricomposta da due frammenti, lacuna al braccio destro. testa tozza con capelli a calotta resi con ricci a lumachella, volto tondo dai tratti illeggibili, collo corto. Busto nudo, rigido, con mammelle appena accennate, spalle spioventi con braccia tondeggianti aderenti al corpo, mani allungate, appoggiate sulle cosce, ventre rilevato. Piedi nudi, senza descrizione delle dita, appoggiati su una base che ne segue l'andamento. Argilla rosata, matrice stanca	Figura femminile seduta	coherent
368	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_36422	LASTRA QUADRANGOLARE. ZOCCOLAT. ROSSASTRA. SCENA FIGURATA CHIUSA, IN ALTO, DA RAMO DI ALLORO CON FOGLIE A SX COMPRESO TRA DUE FASCE PARALLELE.	SCENA FIGURATA : AL CENTRO GALLETTO DI PROFILO A S. CRESTA ROSSA. CORPO GIALLO. ALA VIOLA. CODA A LUNGHE PENNE NERE. A SX BENDA ROSSA CON LACCI TERMINALI, A DX RAMO DI ALLORO.	incoherent
369	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_39012	Statuetta fittile femminile stante. Volto pieno, naso pronunciato, labbra strette e sottili, occhi leggermente all'insù, capelli bipartiti sulla fronte, braccio sinistro lungo i fianchi, destro coperto dalla veste-mantello, che lascia scoperti i piedi e metà gamba; piede destro in avanti. Poggia su una basetta quadrata. Retro piatto.	Abbigliamento: chitone.	incoherent
373	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11908260@	Cannello ricavato da un osso cavo a sezione circolare lievemente rastremato ad una delle estremità; superficie decorata con sette coppie di cordoncini ravvicinati che la suddividono in lunghezza in nove fasce, di cui sette interne a sezione leggermente bombata e due esterne rettilinee, alternate a sei coppie dii cordoncini e un cordoncino singolo più largo, a chiusura dell''ultima fascia bombata. Superfcie levigata.	OGGETTI DA TOELETTA	coherent
565	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_99412	Pittura di larario staccata dalla parete originaria, inserita in cornice di legno	larario	incoherent
704	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd10990812@	FORO PER PERNO NEL BRACCIO DESTRO. FANCIULLO SEDUTO SU ROCCIA, CON CAPPELLO A PUNTA, CHITONISCO MANICATO CINTO, CANESTRO COI PESCI NELLA SINISTRA , PUPILLA FORATA	Pescatore	coherent
714	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd10995023@	CORTA CRINIERA,OCCHI CON PUPILLA FORATA	PROTOME FELINA	coherent
715	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd10995440@	PARTE CORRISPONDENTE AL POLPACCIO CON ALETTE ALLA CAVIGLIA	Mercurio	coherent
716	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd10994878@	FORO PER PERNO NEL COLLO. MASCHILE BARBATA CINTA DA TENIA	MERCURIO	coherent
717	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd10994882@	BARBATA,ANGOLI INTERNI DEGLI OCCHI FORATI	Ritratto	coherent
718	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd10994882@	BARBATA,ANGOLI INTERNI DEGLI OCCHI FORATI	RITRATTO	coherent
719	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd10994242@	VISIBILE PERNO METALLICO. BARBATO CON CORONA VEGETALE	SILENO	coherent
720	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd10994557@	LASTRA DELIMITATA SUPERIORMENTE DA DUE LISTELLI. DUE GRUPPI DECORATIVI,SULLA DESTRA:RAMOSCELLO E FRUTTI DI OLIVO(?);SULLA SINISTRA:RAMOSCELLO DI PINO (?)	MOTIVO VEGETALE	coherent
1323	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11056915@	PARTE DEL CAMPO; STELE A NAISKOS; PILASTRI RETTANGOLARI; ICONICA. FIGURA UMANA MASCHILE CON TUNICA, MANTELLO E ANKH NELLA MANO DESTRA	Figura umana	coherent
1324	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11056891@	PARTE DEL CAMPO E DELLA BASE; STELE A NAISKOS; PILASTRI RETTANGOLARI; ICONICA. FIGURA UMANA CON TUNICA E MANTELLO	FIGURA UMANA	coherent
1374	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_99254	Piccolo emblema a mosaico policromo staccato dal pavimento originario.	divinità delle acque	coherent
1377	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_98684	Skyphos a figure rosse.	Giovane nudo con benda sul capo e mantello, stante a destra con una benda nella mano destra. Lato B: figura femminile vestita di chitone e corona radiale sul capo stante a desstra di una cassetta.	incoherent
1378	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_98644	Kylix a figure rosse.	Nella vasca: figura maschile, nuda, stante, restrospiciente con patera e specchio nelle mani. All'esterno figure maschili semipanneggiate sedute.	incoherent
1379	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_98696	Protome femminile con polos basso, svasato.	Volto carnoso, piccole orecchie asimmetriche, naso crosso, bocca appena rialzata.	incoherent
1380	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_98975	Amuleto con foro di sospensione	Piccolo cuore con funzione di amuleto.	coherent
1381	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_99015	Gruppo composto di due statue, con due sostegni a forma di tronco, entrambe poggianti su un plinto profilato.	Le due figure, Dioniso nudo, stante in posa sinuosa, appoggiato sulla gamba destra e con la sinistra flessa scartata di lato, ed Eros, gravitante sulla gamba destra e con la sinistra portata all'indietro, poggiano entrambi sul plinto con due sostegni a forma di tronchi; quello a destra, appena coperto da una nebride, Ë ornato da tralci di vite ed uva, tra cui si insinua un serpente. Dioniso, con il volto giovanile incorniciato dai capelli ricciuti raccolti da un corona di pampini sulla fronte e sciolti intorno al collo, solleva il braccio destra sul capo, reggendo un grappolo d'uva, e poggia il sinistro tenendo un craterisco nella mano sulla spalla del piccolo Eros, che volge la testa, con la fronte circondata da riccioli, verso il dio.	incoherent
1382	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_98806	Parte superiore di figura maschile a torso nudo	Figura con scudo in basso nella sinistra, clamide dietro le spalle, indossa il pileo.	incoherent
1383	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_98791	Due recumbenti su kline, acefali.	Il primo prsonaggio, di dimensioni maggiori, regge con la destra una phiale e con la sinistra a sÈ una lyra. Il secondo personaggio poggia il gomito sinistro su un cuscino e con la sinistra regge una phiale, il letto di cui si conserva il bordo, presenta piccoli capitelli decorativi.	incoherent
1384	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_99018	Statua seduta su blocco di roccia di forma triangolare, insistente su una base.	Marte	coherent
1385	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_98703	Figura femminile stante panneggiata.	Il volto trapezioidale Ë inquadrato da capelli a massa compatta. Le braccia sono rigidamente ripiegate al petto.	incoherent
1386	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_98944	Manico di specchio a forma di statuina stante, avente sulla testa l'attacco dello specchio.	figura femminile	coherent
1608	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_28959	Arco a nastro ribassato, sormontato da due dischi contigui in lamina, frammentari, fissati da due chiodi centrali ricoperti da due conetti prominenti, molla ad un avvolgimento, ago rettilineo, staffa a forma di uncino, superficie liscia	motivo decorativo, a doppia corona di cerchietti concentrici incisi a tallonatura, alternati a fasce di linee concentriche incise, fittamente sulla superficie dei dischi	incoherent
1609	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_28983	placchetta decorativa formata da due piastre rettangolari sovrapposte, fissate da un chiodo di ferro al centro e da quattro chiodi bronzei agli angoli, altri fori sono disposti lungo i margini frammentari; lati a profilo esterno concavo-convessi	Motivo decorativo a cerchi concentrici disposti intorno al chiodo centrale, scontornati da tre linee parallele disposte lungo i margini esterni	incoherent
1610	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_29025	Arco a nastro ribassato, sormontato da quattro spirali, fissate a croce da un chiodo, cui è inserita una borchietta circolare, frammentaria, molla ad un avvolgimento, ago rettilineo, staffa breve, simmetrica, a triangolo isoscele, frammentaria	Motivo decorativo a corona di punti a sbalzo lungo i margini della borchietta	incoherent
1611	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd12381318@	Statuetta con retro piatto, raffigurante una divinità femminile seduta in trono, con braccia flesse e sporte in avanti; indossa un alto polos sul capo, un chitone cintato con fibula a disco applicata sulla spalla sinistra; volto dai tratti arcaici, con pettinatura a lunghe ciocche che ricadono sul busto	Demetra-Persefone in trono, STRUMENTI, UTENSILI E OGGETTI D’USO/ OGGETTI PER USO CERIMONIALE, MAGICO E VOTIVO	coherent
1623	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_46918	IL VASO RIENTRA NELLA CORRENTE DI CERAMICA C.D. DI GNATHIA.	FIGURA FEMMINILE	coherent
1624	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_46997	PROTOME DI ANIMALE, PROBABILE APPLIQUE DI VASO: SU UN LUNGO COLLO S'IMPOSTA UNA TESTA CON UN LUNGO MUSO APPIATTITO, DUE CERCHIETTI INCISI AILATI AD INDICARE GLI OCCHI, UN CORNO SULLA FRONTE E GLI ATTACCHI DI DUESPORGENZE SUL CRANIO AL POSTO DELLE ORECCHIE. IL COLLO ALLA BASE SIALLARGA ED HA UNA CAVITA' NEL PUNTO IN CUI PROBABILMENTE SI APPLICAVA ALVASO.	PROTOME DI ANIMALE	coherent
1625	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_47009	LA TESTA E' FORTEMENTE STILIZZATA A STRUTTURA TRIANGOLARE CON GUANCEPROFONDAMENTE INCAVATE; GLI OCCHI GLOBULARI SONO MOLTO SPORGENTI, IL LUNGONASO AFFILATO SI SALDA ALL'ARCO SOPRACCILIARE MOLTO PROMINENTE.L'ACCONCIATURA E' RESA SULLA FRONTE CON QUATTRO PROFONDE STRIGILATURESORMONTATE DA UNA FASCIA PIATTA.	Figura Femminile	coherent
1626	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_47076	SI TRATTA FORSE DELLA DECORAZIONE PLASTICA DI UN'ANSA DI LUCERNA BRONZEA.	figura femminile	coherent
